epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.5291,1.56791,2.43523,1.27605,0.02171,0.36409,0.20786,0.10688,2.7886,3.0222,3.10132,0.0007,0.0007,0.0937
2,79.7978,1.32001,1.41376,1.11556,0.60157,0.06711,0.11633,0.0287,2.51436,2.83138,2.71112,0.00142508,0.00142508,0.0864251
3,115.79,1.21254,1.22077,1.10149,0.0783,0.47357,0.06887,0.04606,2.14086,5.51245,2.37445,0.00207023,0.00207023,0.0790702
4,152.775,1.18308,1.09277,1.0663,0.0281,0.10822,0.01707,0.00822,2.5005,5.00669,3.04718,0.00263547,0.00263547,0.0716355
5,190.918,1.20521,1.10748,1.1248,0.05368,0.3104,0.04653,0.02296,2.08375,4.88178,2.2241,0.00312078,0.00312078,0.0641208
6,229.129,1.1497,1.0509,1.08358,0.53093,0.1745,0.02434,0.00947,2.39135,3.00401,2.21791,0.00352617,0.00352617,0.0565262
7,268.911,1.04299,0.97424,1.05837,0.26621,0.14998,0.13346,0.0778,1.49478,50.3646,1.368,0.00385165,0.00385165,0.0488516
8,303.696,1.05626,0.92885,1.03371,0.25106,0.15436,0.14269,0.08571,1.53089,46.061,1.412,0.00409721,0.00409721,0.0410972
9,337.7,1.04593,0.92215,1.03043,0.24178,0.38563,0.25465,0.15966,1.5124,3.17332,1.44663,0.00426284,0.00426284,0.0332628
10,372.18,0.94911,0.8324,0.99689,0.50636,0.43941,0.44745,0.29496,1.32469,2.48763,1.31843,0.00434855,0.00434855,0.0253486
11,402.985,0.94902,0.98362,1.01617,0.51205,0.69511,0.59295,0.40243,1.10158,1.30869,1.19656,0.00435435,0.00435435,0.0173544
12,433.619,0.90673,0.92642,0.99531,0.43067,0.89219,0.55673,0.41008,1.06735,1.92465,1.15534,0.00428023,0.00428023,0.00928022
13,464.263,0.92532,0.88106,0.99796,0.44203,0.86048,0.4399,0.31534,1.09967,2.05825,1.15338,0.004006,0.004006,0.004006
14,494.7,0.88639,0.85459,0.97723,0.46915,0.66135,0.50524,0.37125,1.0088,1.0974,1.09526,0.0035065,0.0035065,0.0035065
15,525.282,0.87931,0.84781,0.99397,0.51798,0.62687,0.58169,0.42934,1.05265,0.92461,1.10743,0.003007,0.003007,0.003007
16,555.685,0.84189,0.78706,0.96029,0.61741,0.81152,0.66806,0.52127,1.00537,0.89616,1.0665,0.0025075,0.0025075,0.0025075
17,586.159,0.81623,0.75681,0.95428,0.74915,0.79601,0.75997,0.6063,0.96238,0.82778,1.02852,0.002008,0.002008,0.002008
18,616.376,0.83921,0.76531,0.9621,0.68362,0.86114,0.72968,0.56716,0.93426,0.78385,1.00634,0.0015085,0.0015085,0.0015085
19,646.808,0.7789,0.70933,0.933,0.6475,0.9066,0.70172,0.55088,0.89158,0.71614,0.97742,0.001009,0.001009,0.001009
20,677.718,0.76174,0.70416,0.94908,0.64415,0.80127,0.68037,0.54185,0.86334,0.67927,0.96029,0.0005095,0.0005095,0.0005095
