epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.741,0.8787,0.8001,0.97304,0.53379,0.48109,0.49014,0.36707,1.06183,1.31795,1.09868,0.00035,0.00035,0.09335
2,65.0174,0.8581,0.77193,0.9583,0.94205,0.4094,0.48449,0.36565,1.12092,0.97557,1.11402,0.000725025,0.000725025,0.085725
3,97.2313,0.8516,0.76265,0.95754,0.92863,0.40809,0.46886,0.34426,1.09252,1.1258,1.06336,0.00107341,0.00107341,0.0780734
4,130.347,0.83707,0.71059,0.95155,0.90414,0.40688,0.46858,0.33064,1.33927,1.30657,1.21112,0.00139515,0.00139515,0.0703952
5,163.716,0.87029,0.73166,0.96331,0.91726,0.40194,0.5491,0.39388,1.33377,1.17431,1.16131,0.00169026,0.00169026,0.0626903
6,195.381,0.87941,0.71738,0.96365,0.95002,0.43807,0.46712,0.34998,1.02735,0.99302,1.04294,0.00195873,0.00195873,0.0549587
7,226.635,0.86918,0.6702,0.96722,0.93824,0.41275,0.47576,0.35722,1.17727,1.03905,1.14838,0.00220055,0.00220055,0.0472006
8,258.217,0.85911,0.66636,0.96251,0.61338,0.51049,0.50485,0.38483,0.97321,0.98146,1.0209,0.00241574,0.00241574,0.0394157
9,289.636,0.86323,0.68647,0.95295,0.50558,0.61144,0.53645,0.41698,0.97837,0.88258,1.01252,0.00260428,0.00260428,0.0316043
10,321.111,0.90932,0.72112,0.97593,0.56349,0.65477,0.57683,0.44342,0.98487,0.76422,1.00936,0.00276618,0.00276618,0.0237662
11,352.936,0.88868,0.68087,0.9641,0.61763,0.80429,0.65283,0.52369,0.89001,0.60234,0.97958,0.00290145,0.00290145,0.0159015
12,384.514,0.84157,0.6791,0.96215,0.63071,0.83655,0.65938,0.52538,0.8283,0.60219,0.99124,0.00301008,0.00301008,0.00801008
13,415.585,0.81516,0.65235,0.96021,0.68369,0.86057,0.68057,0.54343,0.96576,0.79579,1.06974,0.003002,0.003002,0.003002
14,447.394,0.80534,0.62616,0.94379,0.70697,0.81544,0.70059,0.56489,0.95779,0.92263,1.03935,0.0028355,0.0028355,0.0028355
15,478.762,0.74939,0.61484,0.93913,0.68052,0.82186,0.67228,0.55462,0.78445,0.74142,0.95216,0.002669,0.002669,0.002669
16,514.811,0.78275,0.62175,0.9375,0.67517,0.86133,0.73808,0.61818,0.83489,0.64948,0.96603,0.0025025,0.0025025,0.0025025
17,548.944,0.77954,0.6047,0.9227,0.76749,0.90693,0.79697,0.66302,0.88961,0.59148,0.99865,0.002336,0.002336,0.002336
18,583.887,0.75799,0.58303,0.9283,0.73053,0.88577,0.79057,0.6556,0.82618,0.5651,0.96104,0.0021695,0.0021695,0.0021695
19,622.522,0.75698,0.5735,0.91938,0.70314,0.67827,0.71977,0.59386,0.78524,0.54967,0.95052,0.002003,0.002003,0.002003
20,657.261,0.73981,0.54905,0.91048,0.59974,0.75993,0.67858,0.56693,0.75338,0.53708,0.94649,0.0018365,0.0018365,0.0018365
21,691.725,0.69277,0.63175,0.90544,0.60807,0.87455,0.69934,0.58437,0.77873,0.55832,0.95512,0.00167,0.00167,0.00167
22,725.602,0.68863,0.56971,0.90277,0.7153,0.90193,0.76345,0.6402,0.80464,0.58994,0.96618,0.0015035,0.0015035,0.0015035
23,762.226,0.67352,0.54441,0.90228,0.69645,0.87572,0.79388,0.66974,0.78987,0.56098,0.96142,0.001337,0.001337,0.001337
24,796.483,0.67818,0.58457,0.90028,0.75429,0.85949,0.8224,0.69174,0.757,0.52321,0.94655,0.0011705,0.0011705,0.0011705
25,830.965,0.71328,0.56244,0.91904,0.76769,0.90492,0.82486,0.69665,0.72323,0.50101,0.9341,0.001004,0.001004,0.001004
26,867.755,0.6803,0.52526,0.90876,0.76819,0.92174,0.81978,0.69749,0.69492,0.48803,0.9353,0.0008375,0.0008375,0.0008375
27,902.57,0.6535,0.52117,0.89329,0.7476,0.92846,0.79721,0.67234,0.69597,0.48517,0.93456,0.000671,0.000671,0.000671
28,937.981,0.65448,0.50657,0.89603,0.7388,0.90828,0.78276,0.65974,0.71592,0.4951,0.93621,0.0005045,0.0005045,0.0005045
29,972.784,0.63858,0.48725,0.88042,0.70544,0.91263,0.77278,0.6525,0.7364,0.49619,0.93888,0.000338,0.000338,0.000338
30,1010.14,0.651,0.49173,0.89178,0.68673,0.90912,0.75149,0.63887,0.73414,0.49103,0.93795,0.0001715,0.0001715,0.0001715
